metric,label_value_pair
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod7c6e5d7b_0046_4b5a_8df3_8da9251eeb3a.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod7c6e5d7b_0046_4b5a_8df3_8da9251eeb3a.slice/docker-e40ff7d853435dd82e06b643910655dce621fcf93286d4574cc6f2493fa0d5af.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod7fb0e24d_bdc1_4286_bbe8_30398eb90f3a.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod7fb0e24d_bdc1_4286_bbe8_30398eb90f3a.slice/docker-bc55ca8881d488f07f36d29c3c237cdaaa280725825b1caca8fbc70104583c4e.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-podc922b0ac_df72_4084_b772_93390efc07bd.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-podc922b0ac_df72_4084_b772_93390efc07bd.slice/docker-2a35419dbd9be150fc0b263ca4f6dab85043dc5a88c8d517a542f71c5bb559d6.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-podcdf452e4_de7a_44d4_9bbb_3fa3d5f320a4.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-podcdf452e4_de7a_44d4_9bbb_3fa3d5f320a4.slice/docker-68ae3d00f44041f3357064d002f27be475b8d05d5746c5814417de5c5d3e4f6a.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-poddcc99a89_cb4e_4b83_9c80_7a64d13bc0cb.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-poddcc99a89_cb4e_4b83_9c80_7a64d13bc0cb.slice/docker-1d272ea32098aaa82c1959b3e47ee7a623f488e336de5e0d128a1d6fcf9a19a6.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pode4b8e3b5_ef2e_4634_8245_1f6e0889112b.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pode4b8e3b5_ef2e_4634_8245_1f6e0889112b.slice/docker-3b208bc15490b3a91b3b805c06ef495928c1f86cf00a6ca869446676a796a513.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod000c6749_6d5f_4abd_8a48_2a9fb268cdde.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod000c6749_6d5f_4abd_8a48_2a9fb268cdde.slice/docker-82f4e5ea21215381131eb3427c6ee4ce5401560dc2849237a22d8075cee11e59.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod03b512c0_0e7c_4609_88e0_9a35daff0dd0.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod03b512c0_0e7c_4609_88e0_9a35daff0dd0.slice/docker-1b808ec36c0ade2a508330ede7b5a040018a063e28a76cf2dd1421bf0a5c6e9b.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod03b512c0_0e7c_4609_88e0_9a35daff0dd0.slice/docker-88b3e0aac45f301b18b4f45a42e7a7534d67237d68d63b14cff668e4fc58c3f4.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod03b512c0_0e7c_4609_88e0_9a35daff0dd0.slice/docker-db577fcd08e1c386d34998cb1807ee1efe67c79751494c8c17ca340d184576dc.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod0bbb9a52_454d_4c23_8dbb_779805f96c94.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod0bbb9a52_454d_4c23_8dbb_779805f96c94.slice/docker-0c064875fbcabfd9aab822bee7715d49d3522392c1167a1e43861fb085fdb6cc.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod0bbb9a52_454d_4c23_8dbb_779805f96c94.slice/docker-9bc51836e62dfcf1d8f21c90a3325a9a85609be26ba3f4a3332f73a262cd24bb.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod138ed32b_6c9f_40fc_a889_48e9fb0be726.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod138ed32b_6c9f_40fc_a889_48e9fb0be726.slice/docker-18af15c631566d9d9e78b5bec8a53aea4dbc42f2bc6ec65933952232421bac73.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod14d8c5c5_8702_454a_b35b_08ca0111dd91.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod14d8c5c5_8702_454a_b35b_08ca0111dd91.slice/docker-94eaa9aea154e49794f3d3bddfc26e4ec42dd784073dfdd5d30a9074542aae4f.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod14d8c5c5_8702_454a_b35b_08ca0111dd91.slice/docker-992bd442e137071901983d332421017b99c7970c4e0bb9a8e2323420f4f74b45.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod14d8c5c5_8702_454a_b35b_08ca0111dd91.slice/docker-9a7fb45a2b49746a08a9879d4ef82f7fee5e7faa4791dfa42524bd6908c9babf.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod150d1460_f4e9_4297_b7df_164031b4c7e2.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod150d1460_f4e9_4297_b7df_164031b4c7e2.slice/docker-37bdee30ac84da1f1a97cac0c5f25bcbec122f74cb63e59a597271fe7f436a63.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod18517873_051a_431a_93af_1207d59e3bf1.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod18517873_051a_431a_93af_1207d59e3bf1.slice/docker-a0102bf1dbd664327a2ac2fcf6a7ad90226106861d6f1b93e67a65106e75afbe.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod18e44094_6897_4887_b586_9168738572b9.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod18e44094_6897_4887_b586_9168738572b9.slice/docker-33b31a32061a15ef77d573ee5d79d7e4ba12e766450a85297a77030ec63245de.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod1d373da0_1c58_4145_886d_e53060c5f8f5.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod1d373da0_1c58_4145_886d_e53060c5f8f5.slice/docker-2a469a364954c68794e64069ba30efc32233d62fedc1da6ee01ceb53c1fd775d.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod1e5684e7_9a16_4cb4_a6b7_1f657924c994.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod1e5684e7_9a16_4cb4_a6b7_1f657924c994.slice/docker-b78b48904d38b8f31357b2982eaf3e0405541c20f940b16d1b240d101a3d83e6.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod1e7e10e1_19bf_4018_8f9b_248effeaf5da.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod1e7e10e1_19bf_4018_8f9b_248effeaf5da.slice/docker-424e9d06899237096b5185aefe281f93bb7fd93f023a66f44a1c594cb2cd4d5b.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod20ae9a3f_61bd_4318_af0e_6a65e31d1342.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod20ae9a3f_61bd_4318_af0e_6a65e31d1342.slice/docker-03b4ebc6bb4938af2e34735eee923fb42c8683eab0485c7e5a9ff462adf55de6.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod25f7948a_1c5b_4da6_88eb_4bf2cf54e62f.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod25f7948a_1c5b_4da6_88eb_4bf2cf54e62f.slice/docker-c12a175a381c893bbd092cffa01339541b0bdb85d646971a5a4d4e408c50c392.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod2bc59deb_14a0_4305_a85c_dfdda9d8c3ad.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod2bc59deb_14a0_4305_a85c_dfdda9d8c3ad.slice/docker-43c13b61e00771592736a4a6e3564189fb72498124c9714259a3252a2535e554.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod2d6258a9_a0ec_4315_8fb2_da9e0d64ada8.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod2d6258a9_a0ec_4315_8fb2_da9e0d64ada8.slice/docker-4c6958d38c900875bff7bb3f70bcc061429c3a8534d56222015225481697455f.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod2fa58c93_88c6_4597_aefb_cb69c5b4bb8d.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod2fa58c93_88c6_4597_aefb_cb69c5b4bb8d.slice/docker-9a68d899cf36965ed7ce3e3fd9764d02529b742f6685774b36c50db91f47e7e3.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod34f11dc8_3972_4d06_9630_e93fb7549a24.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod34f11dc8_3972_4d06_9630_e93fb7549a24.slice/docker-a7ed71e9b69a94e0d2b8baea07805f555ff4c4102c2bb4fd281740c06942fff9.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod37628017_a719_4ec8_8113_e36645fb9651.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod37628017_a719_4ec8_8113_e36645fb9651.slice/docker-10f82aaf84888d6f15259d65b0505b1c942448810cbf5fea3e183ba5e3f2004d.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod3e5b5eb8_0768_45ca_8f3e_48df18bb5702.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod3e5b5eb8_0768_45ca_8f3e_48df18bb5702.slice/docker-902f91804f21a265b8b7d01ea29da40de6d75eee452a7004adc5c596db607290.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod43be04ad_ca9b_4f21_849d_8db510bcd5b3.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod43be04ad_ca9b_4f21_849d_8db510bcd5b3.slice/docker-b2e0d365ea47cc27fb0ee8113fbd9841de0fcb29f770da75349ab49c7b3ab2ec.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod4abb6e37_7cac_48e8_a184_a6fec285b684.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod4abb6e37_7cac_48e8_a184_a6fec285b684.slice/docker-bc862c6d16e82072456e1266c5a455c6640373913a116d2e00cafb9e3b81b1d3.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod5466573b_2b9d_42af_a669_258788642ebb.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod5466573b_2b9d_42af_a669_258788642ebb.slice/docker-ae890af7cc8409ce5c0eb263d3ca4b9320c7759a3ec44486641847b5281330b9.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod5fe600bc_4b44_4cc6_83f4_e4c5b4fad944.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod5fe600bc_4b44_4cc6_83f4_e4c5b4fad944.slice/docker-b79fa1e9156f668bbdfbd58500351d4245336803ce67272b8b6c6a41174e8b0c.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod65e77b98_23e6_4a17_823e_deaed5ce1251.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod65e77b98_23e6_4a17_823e_deaed5ce1251.slice/docker-7b1a626119c006f49556f1e4abcbe300ce3aa3138e98eed49008866bca8a2a02.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod6bd8eba6_5a05_4ef9_8c2e_07937ceb44dc.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod6bd8eba6_5a05_4ef9_8c2e_07937ceb44dc.slice/docker-d322fdfa7f2d7e24ff0cc6e0f02d403e98080e072cb386d93cd0687e73956639.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod6cd51d7b_50e7_49cb_8ff3_23190d801ce4.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod6cd51d7b_50e7_49cb_8ff3_23190d801ce4.slice/docker-aa350c1f17dc988a11bc8e3c4561ed4605aaf605c6cc8ff80699ff5088cc053a.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod6cd51d7b_50e7_49cb_8ff3_23190d801ce4.slice/docker-ff12b1df4b4d048d46dcca4f810707295757611980e9a444c5630d37c4dfd9b5.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod6e063f0a34e8f269aca56894e69caff6.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod6e063f0a34e8f269aca56894e69caff6.slice/docker-24817bec6668a337fc4e9cc134eace7893aa08599fa1ad6aefbab7758288f564.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod70464143_4a59_4178_b7c4_f6b38073219a.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod70464143_4a59_4178_b7c4_f6b38073219a.slice/docker-70ea7a4156b62366cededd1349867e03360b9257d9422dca1939eb8de09ed309.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod71be6d4a_deed_4d5d_8b4c_9f0bef1d9a03.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod71be6d4a_deed_4d5d_8b4c_9f0bef1d9a03.slice/docker-46fbf558be0393e5f35f4090047b855d76f74f7b9f79cf669d5b4d5fd054cbf2.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod71be6d4a_deed_4d5d_8b4c_9f0bef1d9a03.slice/docker-a5676dc6326cb09d808b4c3e53b99516c7a8de8fe354122452e20fe50ccab0c4.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod792e5547_1169_4653_a782_beaaf129398d.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod792e5547_1169_4653_a782_beaaf129398d.slice/docker-3cf7ccb135e90d5164c85250468aa97a507133e19d198ca547d629624b6076b3.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod7bc9e939_5fbb_4a54_a948_a582027d4173.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod7bc9e939_5fbb_4a54_a948_a582027d4173.slice/docker-954e6cf8df2fb19330ef50ba2b1de5cb7109138bdac1b42aff8cca9336e104a1.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod7ccbd58f_f2a4_401d_92ca_5604f3c858e3.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod7ccbd58f_f2a4_401d_92ca_5604f3c858e3.slice/docker-009b7e86b6f5960f3355373ad8fd3706d09f7d3c2a5e9b6e43f661ca391209e2.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod7ccbd58f_f2a4_401d_92ca_5604f3c858e3.slice/docker-bc4bc389b46a3d0887935898d9e57b155993f38d23ea4671464b1d08169fa371.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod7dee5da5_185b_44f9_aa54_b5856364fd40.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod7dee5da5_185b_44f9_aa54_b5856364fd40.slice/docker-42f44b9a354c4beacb63c1c3867804b760ebfdf15529bfba2317cf01589634b9.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod81605590_959d_43fd_a1d9_165befd330a1.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod81605590_959d_43fd_a1d9_165befd330a1.slice/docker-ee87c1874e6e4a503abdd3fb31b0f3a3b2a638f5239811efc49ec72e469f5dc7.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod8bc47606_9862_4f3c_8d57_6ec3f38b70a2.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod8bc47606_9862_4f3c_8d57_6ec3f38b70a2.slice/docker-f36e5c5b001f7d7c8557aa8afe3c3c7085afb64acce253602687aec5f354cd7a.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod8cac3a7afcf13bd55a77b1f25630be68.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod8cac3a7afcf13bd55a77b1f25630be68.slice/docker-f95e4ed1d8e4be2868c3bc7e1b489490d0227b37749b30700996a5c645901fb4.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod8f08a883_1121_4cce_b875_6fc99f53e732.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod8f08a883_1121_4cce_b875_6fc99f53e732.slice/docker-5c3a667ef11b1da3e11cd75ca430aa771eee7a196d4483951e237cf0dcdacb1b.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod90837962_e52c_4997_95e5_3ddab6b0dee7.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod90837962_e52c_4997_95e5_3ddab6b0dee7.slice/docker-642e98b14ced0c79a0bb698d68d54d3a42013a53dd593fd43994dc9a1571bddb.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod98b3a73c_c524_4738_9dc9_085a7fb18076.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod98b3a73c_c524_4738_9dc9_085a7fb18076.slice/docker-f83adde6243f162f7f76bf7e1c99ec4f2139576b18f1ca83a1b1507f101571fd.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod98be4202_0108_4bb6_b9d4_8ad793ad0174.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod98be4202_0108_4bb6_b9d4_8ad793ad0174.slice/docker-961b4e406b45122e33204b4757f168496d43ddbd4601ba22b4e42f451c853e40.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod9d7df3f7_6590_428e_a33b_66dfe90bdd38.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod9d7df3f7_6590_428e_a33b_66dfe90bdd38.slice/docker-c59774a375e0e6ade4c4ab3cf35f669600537dbb5a7a772a2654243306354bfb.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod9df9e467_8bf6_49db_84ea_d837b92e84d6.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod9df9e467_8bf6_49db_84ea_d837b92e84d6.slice/docker-84ad50f9542669d18f1d1d72a67a71ea5ad85dbbb50fdf1906b21e9a965003c0.scope
